,Overall feeling of security,Adequacy of security features,Privacy policy is clear/transparent,MFA / two-step login is effective,Concern about data breaches,Bank responds quickly to incidents,Concern over third-party data sharing,Trust in digital banking platform,Timely grievance resolution,Trust in regulators to protect data
Overall feeling of security,1.0,0.711,0.706,0.641,-0.51,0.698,-0.646,0.707,0.697,0.651
Adequacy of security features,0.711,1.0,0.709,0.645,-0.523,0.705,-0.655,0.71,0.7,0.663
Privacy policy is clear/transparent,0.706,0.709,1.0,0.628,-0.508,0.706,-0.642,0.711,0.696,0.649
MFA / two-step login is effective,0.641,0.645,0.628,1.0,-0.625,0.631,-0.671,0.637,0.618,0.668
Concern about data breaches,-0.51,-0.523,-0.508,-0.625,1.0,-0.505,0.629,-0.508,-0.499,-0.638
Bank responds quickly to incidents,0.698,0.705,0.706,0.631,-0.505,1.0,-0.635,0.698,0.689,0.641
Concern over third-party data sharing,-0.646,-0.655,-0.642,-0.671,0.629,-0.635,1.0,-0.645,-0.626,-0.678
Trust in digital banking platform,0.707,0.71,0.711,0.637,-0.508,0.698,-0.645,1.0,0.691,0.656
Timely grievance resolution,0.697,0.7,0.696,0.618,-0.499,0.689,-0.626,0.691,1.0,0.635
Trust in regulators to protect data,0.651,0.663,0.649,0.668,-0.638,0.641,-0.678,0.656,0.635,1.0
