column,question,mean_score,std,strongly_agree_pct,positive_pct,neutral_pct,negative_pct
q_feel_secure,Overall feeling of security,3.256,1.307,12.0,30.0,24.4,45.6
q_security_features,Adequacy of security features,3.349,1.31,10.9,27.6,23.9,48.5
q_privacy_policy_clarity,Privacy policy is clear/transparent,3.556,1.268,8.0,21.9,22.7,55.4
q_mfa_effectiveness,MFA / two-step login is effective,2.789,1.296,20.8,43.1,26.1,30.8
q_data_breach_concern,Concern about data breaches,3.448,1.266,8.6,24.2,24.8,51.0
q_incident_response_speed,Bank responds quickly to incidents,3.736,1.217,5.6,17.2,22.2,60.6
q_third_party_concern,Concern over third-party data sharing,3.295,1.278,10.4,28.3,25.6,46.1
q_trust_platform,Trust in digital banking platform,3.262,1.317,11.9,30.3,24.2,45.4
q_grievance_resolution,Timely grievance resolution,3.84,1.197,4.8,15.5,19.9,64.6
q_regulatory_trust,Trust in regulators to protect data,3.427,1.249,8.3,24.3,25.2,50.5
